message_id,match_pair_id,from_session_id,text,timestamp
msg-01-01,pair-01,u-a043ba,hihi 感觉今天的空气都是甜的,2026-04-19T09:16:00Z
msg-01-02,pair-01,u-e16038,哈哈哈你这么夸张 但是我也想这么说,2026-04-19T09:17:00Z
msg-01-03,pair-01,u-a043ba,要不要互道一件最近最开心的事,2026-04-19T09:18:00Z
msg-01-04,pair-01,u-e16038,昨天朋友们给我办了个惊喜生日,2026-04-19T09:21:00Z
msg-01-05,pair-01,u-a043ba,wow那画面一定很温暖,2026-04-19T09:23:00Z
msg-01-06,pair-01,u-e16038,哭着笑着的那种 你呢,2026-04-19T09:25:00Z
msg-01-07,pair-01,u-a043ba,我刚offer落定 要去搬家啦,2026-04-19T09:27:00Z
msg-02-01,pair-02,u-f511d9,天啊我今天状态好好，感觉什么都能做！,2026-04-19T09:21:00Z
msg-02-02,pair-02,u-cb8f68,懂！我也是，刚跑完步整个人都在发光哈哈,2026-04-19T09:23:00Z
msg-02-03,pair-02,u-f511d9,跑步？我刚从一个超棒的会议出来,2026-04-19T09:24:00Z
msg-02-04,pair-02,u-cb8f68,一定要讲来听听，我想蹭你的能量,2026-04-19T09:25:00Z
msg-02-05,pair-02,u-f511d9,客户直接说下季度签更大的单了,2026-04-19T09:26:00Z
msg-02-06,pair-02,u-cb8f68,太爽了吧！庆祝一下,2026-04-19T09:28:00Z
msg-03-01,pair-03,u-a5534e,下午的光好好看,2026-04-19T09:30:00Z
msg-03-02,pair-03,u-a92b26,是啊 刚在阳台上坐了好久,2026-04-19T09:32:00Z
msg-03-03,pair-03,u-a5534e,什么都没做但是很满足,2026-04-19T09:34:00Z
msg-03-04,pair-03,u-a92b26,这种时刻真的很少,2026-04-19T09:36:00Z
msg-03-05,pair-03,u-a5534e,希望能再长一点,2026-04-19T09:37:00Z
msg-04-01,pair-04,u-e5a6e7,我刚睡醒 天还没黑 好幸福,2026-04-19T09:40:00Z
msg-04-02,pair-04,u-43849e,我懂那种感觉 像偷来的时间,2026-04-19T09:41:00Z
msg-04-03,pair-04,u-e5a6e7,你今天过得怎么样,2026-04-19T09:44:00Z
